Designator,Mid X,Mid Y,Rotation,Layer
C1,136.835,-97.2,180.0,top
C10,141.7675,-92.6,180.0,top
C11,144.3,-103.2675,270.0,top
C12,139.5675,-94.9,180.0,top
C13,116.9,-115.0325,90.0,top
C14,115.6,-115.0325,90.0,top
C15,114.3,-115.0325,90.0,top
C16,113.3,-115.0325,90.0,top
C17,109.0325,-112.4,180.0,top
C18,109.8,-115.0325,90.0,top
C19,108.8,-115.0325,90.0,top
C2,134.4675,-97.2,180.0,top
C20,107.8,-115.0675,90.0,top
C21,182.2,-97.9675,270.0,top
C22,181.2,-97.9675,270.0,top
C23,183.3,-100.2675,270.0,top
C24,180.2,-97.9675,90.0,top
C25,178.3,-97.9675,270.0,top
C26,186.2,-98.0675,270.0,top
C27,188.3,-98.0675,270.0,top
C28,187.3,-98.0675,270.0,top
C29,158.522489,-109.790632,90.0,top
C3,134.4675,-96.2,180.0,top
C30,158.5,-105.0675,270.0,top
C31,152.0,-117.4675,90.0,top
C32,152.6675,-115.7,180.0,top
C33,152.6675,-114.7,180.0,top
C34,164.0,-95.9675,270.0,top
C35,152.6325,-113.7,180.0,top
C36,156.6,-98.3675,90.0,top
C37,157.9325,-100.3,180.0,top
C38,158.5,-107.3675,90.0,top
C39,156.4,-105.2675,270.0,top
C4,163.8,-91.5325,270.0,top
C40,151.6325,-110.4,0.0,top
C41,151.6325,-111.5,0.0,top
C42,151.6325,-112.5,0.0,top
C43,151.2325,-102.8,180.0,top
C44,156.3,-101.4675,270.0,top
C45,154.1325,-103.9,0.0,top
C46,154.1325,-105.0,0.0,top
C47,140.4325,-111.0,0.0,top
C48,136.4,-109.4675,90.0,top
C49,142.6325,-103.9,0.0,top
C5,149.9675,-92.4,0.0,top
C50,143.6325,-110.3,0.0,top
C51,140.8,-103.8325,90.0,top
C52,140.8,-106.8325,90.0,top
C53,137.8675,-112.5,180.0,top
C54,137.3675,-117.7,0.0,top
C55,114.8325,-97.3,0.0,top
C56,109.6,-97.3675,90.0,top
C6,143.5,-92.3675,90.0,top
C7,148.4,-91.4675,270.0,top
C8,149.9675,-93.4,0.0,top
C9,141.7325,-91.6,180.0,top
D1,107.6,-106.29,270.0,top
D2,187.4,-106.19,90.0,top
D3,162.775,-98.2,0.0,top
D4,158.975,-98.2,0.0,top
D5,155.0,-97.925,90.0,top
D6,157.9,-93.7,270.0,top
D7,161.5,-93.7,270.0,top
J1,135.725,-93.375,90.0,top
J2,161.2,-106.5,90.0,top
J3,155.674088,-119.150001,90.0,top
L1,136.8075,-96.2,0.0,top
L2,139.4725,-92.5,0.0,top
L3,148.1,-111.8,0.0,top
Q1,159.25,-114.85,0.0,top
Q2,144.6625,-115.5,180.0,top
Q3,144.6625,-119.0,180.0,top
R1,146.1,-103.1975,90.0,top
R10,180.7025,-101.4,180.0,top
R11,180.7,-102.5,180.0,top
R12,185.2,-98.0975,90.0,top
R13,155.9025,-113.5,180.0,top
R14,155.9025,-115.0,180.0,top
R15,150.9025,-119.2,0.0,top
R16,150.9025,-120.3,0.0,top
R17,146.5,-105.9975,90.0,top
R18,147.6,-105.9975,90.0,top
R19,157.1025,-103.4,0.0,top
R2,147.1,-103.1975,90.0,top
R20,141.0,-115.4975,270.0,top
R21,146.7975,-114.4,0.0,top
R22,142.1,-118.7975,270.0,top
R23,146.8025,-117.8,0.0,top
R24,142.1,-115.4975,270.0,top
R25,141.0775,-118.8,270.0,top
R26,111.5025,-97.1,0.0,top
R27,111.4975,-98.2,0.0,top
R28,133.6975,-114.2,180.0,top
R29,133.7025,-113.2,180.0,top
R3,139.4025,-96.8,0.0,top
R4,137.9025,-105.5,0.0,top
R5,112.3,-115.0025,270.0,top
R6,114.0975,-111.5,0.0,top
R7,114.1025,-110.3,0.0,top
R8,110.8,-114.9975,270.0,top
R9,183.3,-97.9975,270.0,top
S1,136.025,-99.6,180.0,top
S2,136.025,-103.2,180.0,top
U1,144.9,-97.8,0.0,top
U10,111.9,-94.7,180.0,top
U2,153.3522,-92.250001,0.0,top
U3,145.9,-91.9,180.0,top
U4,182.6,-95.9,270.0,top
U5,112.46,-117.4,90.0,top
U6,151.0,-106.6,0.0,top
U7,155.1444,-108.250001,180.0,top
U8,143.515,-106.9,0.0,top
U9,137.5,-115.1,180.0,top
VR1,153.6,-101.55,180.0,top
VR2,139.1,-108.7,0.0,top
