Reference;Qty;Value;DNP;Exclude from BOM;Exclude from Board;Footprint;Datasheet
C1,C8,C9,C15,C20,C22,C28,C42,C45,C49,C50,C53,C54;13;100nF;;;;Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder;~
C2,C13,C14,C18,C24,C25,C26,C40,C43,C44,C47,C48,C51,C55,C56;15;1uF;;;;Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder;~
C3,C4,C5,C41;4;10uF;;;;Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder;~
C6,C7;2;11pF;;;;Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder;~
C10;1;10nF;;;;Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder;~
C11;1;1nF;;;;Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder;~
C12;1;1pF;;;;Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder;~
C16,C17,C19,C21,C23,C27,C46;7;4.7uF;;;;Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder;~
C29,C30,C31,C32,C33,C34,C35,C37;8;1uF/25V;;;;Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder;~
C36,C38;2;4.7uF/25V;;;;Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder;~
C39;1;0.1uF;;;;Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder;~
C52;1;220nF;;;;Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder;~
D1,D2;2;D;;;;Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal;~
D3,D4,D5;3;MBR0530;;;;Diode_SMD:D_0805_2012Metric_Pad1.15x1.40mm_HandSolder;~
D6,D7;2;MRA4003T3G;;;;Diode_SMD:D_SMA;http://www.onsemi.com/pub_link/Collateral/MRA4003T3-D.PDF
J1;1;Conn_Coaxial_Small;;;;Connector_Coaxial:U.FL_Hirose_U.FL-R-SMT-1_Vertical;~
J2;1;FFC2B28-24-G;;;;FFC2B28-24-G:GCT_FFC2B28-24-G;
J3;1;2328702-6;;;;2328702-6:CONN6_2328702-6_TEC;https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1-1773959-7-FPC-Connectors-CN&DocType=Data+Sheet&DocLang=English&PartCntxt=2328702-6&DocFormat=pdf
L1;1;2nH;;;;Inductor_SMD:L_0402_1005Metric_Pad0.77x0.64mm_HandSolder;~
L2;1;3.3nH;;;;Inductor_SMD:L_0402_1005Metric_Pad0.77x0.64mm_HandSolder;~
L3;1;47uH 500mA;;;;ANR4012T470M inductor:Untitled;~
Q1;1;SI1308EDL-T1-GE3;;;;SI1308EDL-T1-GE3:SOT65P210X110-3N;
Q2,Q3;2;BSS138;;;;Package_TO_SOT_SMD:SOT-23;https://www.onsemi.com/pub/Collateral/BSS138-D.PDF
R1,R2;2;22R;;;;Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder;~
R3,R4,R20,R21,R22,R23,R28,R29;8;10K;;;;Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder;~
R5,R6,R7,R9,R10,R11,R15,R16,R24,R25;10;4.7K;;;;Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder;~
R8,R12;2;560K;;;;Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder;~
R13;1;1M;;;;Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder;~
R14;1;2.2R;;;;Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder;~
R17,R18,R19;3;1K;;;;Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder;~
R26,R27;2;2.2K;;;;Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder;~
S1,S2;2;TS-1088-AR02016;;;;TS-1088-AR02016:SW_TS-1088-AR02016;
TP1,TP3,TP26,TP27;4;GND;;;;TestPoint:TestPoint_Pad_1.5x1.5mm;~
TP2;1;VBUS;;;;TestPoint:TestPoint_Pad_1.5x1.5mm;~
TP4;1;DN;;;;TestPoint:TestPoint_Pad_1.5x1.5mm;~
TP5;1;DP;;;;TestPoint:TestPoint_Pad_1.5x1.5mm;~
TP6;1;GND_TO_GNDIO;;;;TestPoint:TestPoint_Pad_1.5x1.5mm;~
TP7;1;GNDIO_TO_GND;;;;TestPoint:TestPoint_Pad_1.5x1.5mm;~
TP8;1;GND_TO_GNDPWR;;;;TestPoint:TestPoint_Pad_1.5x1.5mm;~
TP9;1;GNDPWR_TO_GND;;;;TestPoint:TestPoint_Pad_1.5x1.5mm;~
TP10;1;MAIN_SCL;;;;TestPoint:TestPoint_Pad_D1.0mm;~
TP11;1;MAIN_SDA;;;;TestPoint:TestPoint_Pad_D1.0mm;~
TP12;1;TOUCH_INT;;;;TestPoint:TestPoint_Pad_D1.0mm;~
TP13;1;TOUCH_RESET;;;;TestPoint:TestPoint_Pad_D1.0mm;~
TP14;1;EINK_BUSY;;;;TestPoint:TestPoint_Pad_D1.0mm;~
TP15;1;EINK_RESET;;;;TestPoint:TestPoint_Pad_D1.0mm;~
TP16;1;EINK_D/C;;;;TestPoint:TestPoint_Pad_D1.0mm;~
